code_INE,move,type,name,source,value
27,Out-migration,International migration,Lugo,EVR,0.5568
27,Out-migration,Internal migration,Lugo,EVR,0.9991
27,In-migration,International migration,Lugo,EVR,0.7453
27,In-migration,Internal migration,Lugo,EVR,1.0012
28,Out-migration,International migration,Madrid,EVR,0.697
28,Out-migration,Internal migration,Madrid,EVR,1.0062
28,In-migration,International migration,Madrid,EVR,0.7485
28,In-migration,Internal migration,Madrid,EVR,1.0036
29,Out-migration,International migration,Málaga,EVR,0.5905
29,Out-migration,Internal migration,Málaga,EVR,1.0038
29,In-migration,International migration,Málaga,EVR,0.7898
29,In-migration,Internal migration,Málaga,EVR,1.0108
30,Out-migration,International migration,Murcia,EVR,0.5523
30,Out-migration,Internal migration,Murcia,EVR,0.9933
30,In-migration,International migration,Murcia,EVR,0.7745
30,In-migration,Internal migration,Murcia,EVR,0.9964
31,Out-migration,International migration,Navarra,EVR,0.687
31,Out-migration,Internal migration,Navarra,EVR,0.9931
31,In-migration,International migration,Navarra,EVR,0.8095
31,In-migration,Internal migration,Navarra,EVR,0.9953
32,Out-migration,International migration,Ourense,EVR,0.5428
32,Out-migration,Internal migration,Ourense,EVR,0.9962
32,In-migration,International migration,Ourense,EVR,0.7823
32,In-migration,Internal migration,Ourense,EVR,0.9976
33,Out-migration,International migration,Asturias,EVR,0.606
33,Out-migration,Internal migration,Asturias,EVR,0.9949
33,In-migration,International migration,Asturias,EVR,0.7811
33,In-migration,Internal migration,Asturias,EVR,1.0129
34,Out-migration,International migration,Palencia,EVR,0.59
34,Out-migration,Internal migration,Palencia,EVR,1.0015
34,In-migration,International migration,Palencia,EVR,0.7816
34,In-migration,Internal migration,Palencia,EVR,1.0052
35,Out-migration,International migration,Las Palmas,EVR,0.4736
35,Out-migration,Internal migration,Las Palmas,EVR,1.0016
35,In-migration,International migration,Las Palmas,EVR,0.6761
35,In-migration,Internal migration,Las Palmas,EVR,0.9992
36,Out-migration,International migration,Pontevedra,EVR,0.5205
36,Out-migration,Internal migration,Pontevedra,EVR,0.9978
36,In-migration,International migration,Pontevedra,EVR,0.7446
36,In-migration,Internal migration,Pontevedra,EVR,1.0116
37,Out-migration,International migration,Salamanca,EVR,0.4821
37,Out-migration,Internal migration,Salamanca,EVR,0.9987
37,In-migration,International migration,Salamanca,EVR,0.7325
37,In-migration,Internal migration,Salamanca,EVR,1.0019
38,Out-migration,International migration,Tenerife,EVR,0.3758
38,Out-migration,Internal migration,Tenerife,EVR,0.9983
38,In-migration,International migration,Tenerife,EVR,0.692
38,In-migration,Internal migration,Tenerife,EVR,0.9989
39,Out-migration,International migration,Cantabria,EVR,0.6047
39,Out-migration,Internal migration,Cantabria,EVR,0.9924
39,In-migration,International migration,Cantabria,EVR,0.7918
39,In-migration,Internal migration,Cantabria,EVR,1.0066
40,Out-migration,International migration,Segovia,EVR,0.6358
40,Out-migration,Internal migration,Segovia,EVR,0.9995
40,In-migration,International migration,Segovia,EVR,0.6971
40,In-migration,Internal migration,Segovia,EVR,1.0029
41,Out-migration,International migration,Sevilla,EVR,0.4906
41,Out-migration,Internal migration,Sevilla,EVR,1.0083
41,In-migration,International migration,Sevilla,EVR,0.7048
