code_INE,move,type,name,source,value
25,In-migration,Internal migration,Lleida,EVR,-0.5495738
26,Out-migration,International migration,La Rioja,EVR,58.63509749
26,Out-migration,Internal migration,La Rioja,EVR,0.487995315
26,In-migration,International migration,La Rioja,EVR,39.71855256
26,In-migration,Internal migration,La Rioja,EVR,0.748916043
27,Out-migration,International migration,Lugo,EVR,79.59183673
27,Out-migration,Internal migration,Lugo,EVR,0.088809947
27,In-migration,International migration,Lugo,EVR,34.17777778
27,In-migration,Internal migration,Lugo,EVR,-0.121976011
28,Out-migration,International migration,Madrid,EVR,43.47274891
28,Out-migration,Internal migration,Madrid,EVR,-0.61790704
28,In-migration,International migration,Madrid,EVR,33.60640846
28,In-migration,Internal migration,Madrid,EVR,-0.355621948
29,Out-migration,International migration,Málaga,EVR,69.3539027
29,Out-migration,Internal migration,Málaga,EVR,-0.381231672
29,In-migration,International migration,Málaga,EVR,26.61233993
29,In-migration,Internal migration,Málaga,EVR,-1.065883989
30,Out-migration,International migration,Murcia,EVR,81.05476357
30,Out-migration,Internal migration,Murcia,EVR,0.673809787
30,In-migration,International migration,Murcia,EVR,29.11454301
30,In-migration,Internal migration,Murcia,EVR,0.356865787
31,Out-migration,International migration,Navarra,EVR,45.55427252
31,Out-migration,Internal migration,Navarra,EVR,0.698529412
31,In-migration,International migration,Navarra,EVR,23.53646833
31,In-migration,Internal migration,Navarra,EVR,0.475858867
32,Out-migration,International migration,Ourense,EVR,84.23040604
32,Out-migration,Internal migration,Ourense,EVR,0.384862091
32,In-migration,International migration,Ourense,EVR,27.83102591
32,In-migration,Internal migration,Ourense,EVR,0.243948208
33,Out-migration,International migration,Asturias,EVR,65.02242152
33,Out-migration,Internal migration,Asturias,EVR,0.514827018
33,In-migration,International migration,Asturias,EVR,28.02030457
33,In-migration,Internal migration,Asturias,EVR,-1.27744511
34,Out-migration,International migration,Palencia,EVR,69.5035461
34,Out-migration,Internal migration,Palencia,EVR,-0.151457781
34,In-migration,International migration,Palencia,EVR,27.93946449
34,In-migration,Internal migration,Palencia,EVR,-0.515463918
35,Out-migration,International migration,Las Palmas,EVR,111.1272904
35,Out-migration,Internal migration,Las Palmas,EVR,-0.160739401
35,In-migration,International migration,Las Palmas,EVR,47.90450928
35,In-migration,Internal migration,Las Palmas,EVR,0.0846143
36,Out-migration,International migration,Pontevedra,EVR,92.14074318
36,Out-migration,Internal migration,Pontevedra,EVR,0.22539444
36,In-migration,International migration,Pontevedra,EVR,34.3079922
36,In-migration,Internal migration,Pontevedra,EVR,-1.150417026
37,Out-migration,International migration,Salamanca,EVR,107.4458874
37,Out-migration,Internal migration,Salamanca,EVR,0.130694548
37,In-migration,International migration,Salamanca,EVR,36.52111151
37,In-migration,Internal migration,Salamanca,EVR,-0.186721992
38,Out-migration,International migration,Tenerife,EVR,166.0743134
38,Out-migration,Internal migration,Tenerife,EVR,0.168944863
38,In-migration,International migration,Tenerife,EVR,44.50565551
38,In-migration,Internal migration,Tenerife,EVR,0.11471398
39,Out-migration,International migration,Cantabria,EVR,65.36118364
39,Out-migration,Internal migration,Cantabria,EVR,0.770171149
39,In-migration,International migration,Cantabria,EVR,26.29692113
39,In-migration,Internal migration,Cantabria,EVR,-0.65674705
40,Out-migration,International migration,Segovia,EVR,57.28250244
40,Out-migration,Internal migration,Segovia,EVR,0.050658561
40,In-migration,International migration,Segovia,EVR,43.44644045
40,In-migration,Internal migration,Segovia,EVR,-0.289505428
41,Out-migration,International migration,Sevilla,EVR,103.8410771
41,Out-migration,Internal migration,Sevilla,EVR,-0.826446281
41,In-migration,International migration,Sevilla,EVR,41.8821716
41,In-migration,Internal migration,Sevilla,EVR,-0.889167844
42,Out-migration,International migration,Soria,EVR,52.4534687
42,Out-migration,Internal migration,Soria,EVR,-0.616197183
42,In-migration,International migration,Soria,EVR,33.36745138
42,In-migration,Internal migration,Soria,EVR,-1.016456922
43,Out-migration,International migration,Tarragona,EVR,28.24077795
43,Out-migration,Internal migration,Tarragona,EVR,0.040716612
43,In-migration,International migration,Tarragona,EVR,37.99196787
43,In-migration,Internal migration,Tarragona,EVR,-1.04893399
44,Out-migration,International migration,Teruel,EVR,60.05089059
44,Out-migration,Internal migration,Teruel,EVR,0.124533001
44,In-migration,International migration,Teruel,EVR,19.11564626
44,In-migration,Internal migration,Teruel,EVR,0.383933845
45,Out-migration,International migration,Toledo,EVR,81.06764642
45,Out-migration,Internal migration,Toledo,EVR,-0.318580601
45,In-migration,International migration,Toledo,EVR,45.36553525
45,In-migration,Internal migration,Toledo,EVR,0.994820357
46,Out-migration,International migration,Valencia,EVR,45.50335029
46,Out-migration,Internal migration,Valencia,EVR,-0.358278652
46,In-migration,International migration,Valencia,EVR,31.45705858
46,In-migration,Internal migration,Valencia,EVR,-0.003323032
47,Out-migration,International migration,Valladolid,EVR,69.04133685
47,Out-migration,Internal migration,Valladolid,EVR,1.292430053
47,In-migration,International migration,Valladolid,EVR,26.95362542
47,In-migration,Internal migration,Valladolid,EVR,-0.333936274
48,Out-migration,International migration,Bizkaia,EVR,57.06695005
48,Out-migration,Internal migration,Bizkaia,EVR,-0.735125201
48,In-migration,International migration,Bizkaia,EVR,19.60043733
48,In-migration,Internal migration,Bizkaia,EVR,-0.199700449
49,Out-migration,International migration,Zamora,EVR,96.96261682
49,Out-migration,Internal migration,Zamora,EVR,-0.241046832
49,In-migration,International migration,Zamora,EVR,52.26438188
49,In-migration,Internal migration,Zamora,EVR,0.617283951
50,Out-migration,International migration,Zaragoza,EVR,-40.20883889
50,Out-migration,Internal migration,Zaragoza,EVR,1.01018011
50,In-migration,International migration,Zaragoza,EVR,22.64135437
50,In-migration,Internal migration,Zaragoza,EVR,-0.811406964
1,Out-migration,International migration,Álava,EM,78.35164835
1,Out-migration,Internal migration,Álava,EM,33.3755702
1,In-migration,International migration,Álava,EM,64.13000396
1,In-migration,Internal migration,Álava,EM,41.71590033
2,Out-migration,International migration,Albacete,EM,67.71300448
2,Out-migration,Internal migration,Albacete,EM,33.09152976
2,In-migration,International migration,Albacete,EM,81.68
2,In-migration,Internal migration,Albacete,EM,32.44186047
3,Out-migration,International migration,Alicante,EM,43.74910753
3,Out-migration,Internal migration,Alicante,EM,51.59745377
3,In-migration,International migration,Alicante,EM,56.83850538
3,In-migration,Internal migration,Alicante,EM,43.69931379
4,Out-migration,International migration,Almería,EM,52.82841571
4,Out-migration,Internal migration,Almería,EM,28.16199377
4,In-migration,International migration,Almería,EM,76.64749767
4,In-migration,Internal migration,Almería,EM,35.77882183
5,Out-migration,International migration,Ávila,EM,178.030303
5,Out-migration,Internal migration,Ávila,EM,36.82472989
5,In-migration,International migration,Ávila,EM,116.1141805
5,In-migration,Internal migration,Ávila,EM,18.36783823
6,Out-migration,International migration,Badajoz,EM,112.7355426
6,Out-migration,Internal migration,Badajoz,EM,27.02527544
6,In-migration,International migration,Badajoz,EM,75.3992016
6,In-migration,Internal migration,Badajoz,EM,25.55182765
7,Out-migration,International migration,Baleares,EM,133.4936709
7,Out-migration,Internal migration,Baleares,EM,31.94274292
7,In-migration,International migration,Baleares,EM,78.65839782
7,In-migration,Internal migration,Baleares,EM,43.17465085
8,Out-migration,International migration,Barcelona,EM,107.4944269
8,Out-migration,Internal migration,Barcelona,EM,32.6127521
8,In-migration,International migration,Barcelona,EM,72.33144107
8,In-migration,Internal migration,Barcelona,EM,43.15184856
9,Out-migration,International migration,Burgos,EM,76.93490518
9,Out-migration,Internal migration,Burgos,EM,39.05221588
9,In-migration,International migration,Burgos,EM,68.99841017
9,In-migration,Internal migration,Burgos,EM,35.2568306
10,Out-migration,International migration,Cáceres,EM,116.0188457
10,Out-migration,Internal migration,Cáceres,EM,23.30874605
10,In-migration,International migration,Cáceres,EM,103.9127163
10,In-migration,Internal migration,Cáceres,EM,22.90609137
11,Out-migration,International migration,Cádiz,EM,89.62344887
11,Out-migration,Internal migration,Cádiz,EM,32.97957018
11,In-migration,International migration,Cádiz,EM,61.76764077
11,In-migration,Internal migration,Cádiz,EM,22.94315918
12,Out-migration,International migration,Castellón,EM,65.77786303
12,Out-migration,Internal migration,Castellón,EM,42.30769231
12,In-migration,International migration,Castellón,EM,75.57018953
12,In-migration,Internal migration,Castellón,EM,36.40611188
13,Out-migration,International migration,Ciudad Real,EM,70.68822554
13,Out-migration,Internal migration,Ciudad Real,EM,37.51284687
13,In-migration,International migration,Ciudad Real,EM,77.53288304
13,In-migration,Internal migration,Ciudad Real,EM,31.12408209
14,Out-migration,International migration,Córdoba,EM,115.879017
14,Out-migration,Internal migration,Córdoba,EM,21.30254281
14,In-migration,International migration,Córdoba,EM,107.9443447
14,In-migration,Internal migration,Córdoba,EM,19.86949429
15,Out-migration,International migration,A Coruña,EM,99.10227637
15,Out-migration,Internal migration,A Coruña,EM,36.71884058
15,In-migration,International migration,A Coruña,EM,48.22695035
15,In-migration,Internal migration,A Coruña,EM,30.12096774
16,Out-migration,International migration,Cuenca,EM,119.8054819
16,Out-migration,Internal migration,Cuenca,EM,40.05507956
16,In-migration,International migration,Cuenca,EM,95.6545961
16,In-migration,Internal migration,Cuenca,EM,28.8255223
17,Out-migration,International migration,Girona,EM,77.02757916
17,Out-migration,Internal migration,Girona,EM,39.90907075
17,In-migration,International migration,Girona,EM,85.75411207
17,In-migration,Internal migration,Girona,EM,29.60903129
18,Out-migration,International migration,Granada,EM,133.4206813
18,Out-migration,Internal migration,Granada,EM,28.93890675
18,In-migration,International migration,Granada,EM,74.89107432
18,In-migration,Internal migration,Granada,EM,27.61570322
19,Out-migration,International migration,Guadalajara,EM,59.5684803
19,Out-migration,Internal migration,Guadalajara,EM,38.92186748
